ID_REF,GSM1110879,GSM1110880,GSM1110881,GSM1110882
215394_at,21.6858,21.3973,21.645,21.4112
215395_x_at,26.5557,26.7566,26.7126,26.7849
215396_at,20.9004,20.817,20.8228,20.3634
215397_x_at,26.5641,25.658,26.4388,25.7329
215398_at,23.7033,21.7615,23.2779,22.1419
215399_s_at,24.0871,24.1482,23.9417,24.1633
215400_x_at,26.1089,25.5605,26.1685,25.5773
215401_at,21.8817,21.4065,21.9278,21.7042
215402_at,21.964,20.9144,21.9022,21.0233
215403_at,22.8996,22.7263,23.2335,22.9016
215404_x_at,26.5174,25.9688,26.5805,26.0683
215405_at,21.926,21.7798,22.0704,21.9369
215406_at,21.5881,21.6593,21.3895,21.175
215407_s_at,22.998,23.148,23.4681,23.2131
215408_at,21.1071,20.1463,20.9082,20.3997
215409_at,21.5284,21.6231,21.6183,21.8149
215410_at,21.997,22.0866,22.1924,22.1166
215411_s_at,23.6516,23.6293,23.4511,23.765
215412_x_at,24.973,24.7435,24.5519,24.6236
215413_at,23.5248,23.4892,23.6679,23.4314
215414_at,21.2597,21.0577,21.0438,21.0993
215415_s_at,21.1351,21.3163,21.4169,21.2039
215416_s_at,26.313,26.2344,26.2485,26.2546
215417_at,21.162,21.0156,21.0469,21.2115
215418_at,22.4622,22.4709,22.4195,22.5527
215419_at,21.0336,21.053,21.014,21.0882
215420_at,23.4136,23.3763,23.2786,23.2603
215421_at,20.3622,21.0563,21.29,20.706
215422_at,20.6483,20.4701,20.5842,19.9242
215423_at,21.7583,21.4141,21.6308,21.5215
215424_s_at,26.6055,26.3365,26.0527,26.2245
215425_at,21.1176,21.3582,20.959,21.5789
215426_at,20.1877,20.5089,20.0562,20.3312
215427_s_at,21.665,21.5232,21.3705,21.3455
215428_at,21.3432,21.6344,21.2403,21.2486
215429_s_at,25.3386,24.2023,25.1558,23.9752
215430_at,20.8085,21.0266,21.051,20.9987
215431_at,19.8728,20.5606,20.6262,20.2913
215432_at,20.7365,20.7464,20.7846,20.8782
215433_at,20.6671,20.9307,21.231,21.0843
215434_x_at,25.1518,25.8726,25.3846,25.6829
215435_at,21.8707,22.1702,21.5599,22.6104
215436_at,22.6388,23.0227,23.3781,23.196
215437_x_at,21.8277,21.9348,21.2306,21.7747
215438_x_at,27.3725,27.6599,27.3666,27.6545
215439_x_at,27.2483,26.8367,27.4084,26.8473
215440_s_at,25.1166,23.6924,24.5101,23.5117
215441_at,21.7292,21.5726,21.4813,21.6486
215442_s_at,19.8677,20.1981,19.7051,20.3446
215443_at,20.5412,20.2704,20.2125,20.3105
215444_s_at,20.5998,20.8886,20.4766,20.5471
215445_x_at,24.2756,24.0357,24.6573,23.8536
215446_s_at,20.7348,20.7932,20.7323,21.1156
215447_at,21.3357,21.0034,21.3395,21.4633
215448_at,21.5789,21.7681,21.9846,22.1208
215449_at,20.9412,20.7456,21.0876,20.7749
215450_at,25.5685,26.1175,25.4435,25.7706
215451_s_at,21.2199,21.3748,21.3323,21.3016
215452_x_at,28.0958,28.4307,28.1445,28.2895
215454_x_at,21.11,21.1444,20.3804,20.8181
215455_at,21.9077,21.7722,22.2176,21.7369
215456_at,21.2446,20.9806,21.3725,21.1949
215457_at,20.5282,20.625,20.0025,20.9542
215458_s_at,21.8416,21.5967,21.373,21.6957
215459_at,21.0921,21.0007,20.84,20.725
215460_x_at,24.247,24.1841,24.2855,24.2619
215461_at,24.1215,23.7283,23.9726,23.5613
215462_at,21.7309,21.5228,22.0382,21.7486
215463_at,20.8238,20.5644,20.2759,20.7012
215464_s_at,25.9959,26.129,25.823,26.2224
215465_at,21.1287,20.9251,20.9264,21.0444
215466_at,20.9004,21.3281,21.3048,20.9083
215467_x_at,26.5759,26.302,26.5691,26.3
215468_at,20.1809,21.6522,20.3838,21.7085
215469_at,20.8285,20.849,21.3609,20.7604
215470_at,22.9621,23.7094,23.1901,24.0314
215471_s_at,21.0387,21.8469,19.7479,21.7818
215472_at,21.9962,22.1136,22.2323,22.0217
215473_at,20.3326,20.501,20.3319,20.3208
215474_at,22.6186,20.9675,22.4785,21.0414
215475_at,20.4585,20.6502,20.4271,20.0878
215476_at,21.0401,21.3377,21.7627,21.369
215477_at,20.6811,19.9918,20.2278,20.5934
215478_at,21.3838,21.6328,21.3808,21.5133
215479_at,22.2447,22.4988,22.4307,22.6188
215480_at,21.2377,21.18,21.2244,20.9937
215481_s_at,21.9809,21.4235,21.8491,21.5682
215482_s_at,25.7687,25.8028,25.798,25.8398
215483_at,23.2507,22.3541,23.3407,22.4102
215484_at,22.284,22.3326,22.5713,22.4593
215485_s_at,22.0787,21.7819,21.9939,21.7969
215486_at,20.9259,21.0505,21.1294,21.5156
215487_x_at,20.91,20.9528,20.9767,21.0124
215488_at,21.4173,21.0453,21.4063,21.3614
215489_x_at,25.1838,24.8464,25.2806,25.067
215490_at,22.9104,22.8901,22.9363,23.1039
215491_at,20.9137,20.6494,21.1844,20.189
215492_x_at,24.6238,24.4742,24.5986,24.5068
215493_x_at,25.5027,24.7132,24.6768,24.4855
215494_at,21.3613,21.9226,21.729,22.195
215495_s_at,23.4514,22.7821,22.7209,22.9013
215496_at,21.2086,21.0112,21.2014,21.0686
215497_s_at,23.1951,23.5577,23.4966,23.6546
215498_s_at,25.0733,25.1945,24.8722,25.2641
215499_at,26.5842,26.451,26.1499,26.4319
215500_at,20.9224,21.099,21.0221,21.393
215501_s_at,22.1781,22.2883,21.9801,22.4364
215502_at,21.1212,21.3585,21.1635,21.4971
215503_at,20.9608,20.8026,20.8827,20.7337
215504_x_at,26.7988,26.29,26.8637,26.3762
215505_s_at,23.5139,23.3655,22.9238,23.1794
215506_s_at,20.5414,20.5829,20.651,19.9251
215507_x_at,26.4489,26.0629,26.5817,26.0267
215508_at,20.2131,20.5515,19.7081,21.0741
215509_s_at,22.2746,22.079,21.8872,21.8125
215510_at,21.5639,20.9516,21.0791,20.8899
215511_at,21.195,21.4874,21.5207,21.4188
215512_at,20.7798,20.131,20.5582,20.2006
215513_at,21.9752,21.6811,21.5123,21.5722
215514_at,20.6648,20.7919,20.5752,20.5433
215515_at,22.4711,22.6651,23.128,23.1506
215516_at,19.8681,20.0112,19.7779,20.6784
215517_at,20.9711,21.4624,21.2899,20.8782
215518_at,21.0966,20.9224,21.1854,21.0128
215519_x_at,23.6351,23.7286,23.8184,23.5306
215520_at,21.9271,21.3454,21.3977,21.2916
215521_at,22.9963,22.361,22.7817,22.479
215522_at,20.8872,20.7334,20.3774,20.7836
215523_at,21.433,21.0515,21.2179,21.0066
215524_x_at,21.9369,20.2943,19.788,19.8144
215525_at,21.2089,21.0978,21.0638,21.0674
215526_at,21.2861,21.1382,21.2928,21.1454
215527_at,21.5843,21.7327,21.4905,22.0618
215528_at,23.9216,23.6409,24.151,23.8266
215529_x_at,27.2314,26.7902,27.3105,26.8179
215530_at,21.731,21.7335,21.8211,21.6911
215531_s_at,20.5783,20.3056,20.6828,20.6962
215532_x_at,25.6468,25.3394,25.404,25.372
215533_s_at,21.9233,22.4843,21.9583,22.3395
215534_at,22.2221,22.0583,22.4337,21.8892
215535_s_at,25.084,25.0363,25.0732,24.9596
215536_at,22.6145,22.471,22.7481,22.6456
215537_x_at,25.5482,25.1735,25.5278,25.1382
215538_at,21.3985,21.2162,20.4611,21.1294
215539_at,20.6173,21.3662,21.1452,21.7219
215540_at,20.928,20.7555,20.8092,20.7571
215541_s_at,23.4648,23.7287,23.4884,23.7485
215542_at,20.5019,20.6895,20.7596,20.7131
215543_s_at,21.5247,21.3364,21.3344,21.3557
215544_s_at,22.7317,22.4121,22.5672,22.1655
215545_at,22.6663,23.0604,22.4525,23.1465
215546_at,20.5678,20.0687,20.0114,19.9945
215547_at,20.1435,20.2632,19.9127,20.554
215548_s_at,26.1883,26.8878,26.0424,26.9209
215549_x_at,23.0329,22.8287,22.7211,22.9618
215550_at,20.7552,20.7362,20.401,20.2366
215551_at,21.5935,21.7362,21.9346,21.5182
215552_s_at,21.4276,21.5159,21.2979,21.559
215553_x_at,26.2199,26.0336,26.4374,26.156
215554_at,21.5649,21.2985,20.9462,21.2318
215555_at,21.1688,21.0991,21.1161,21.1077
